sn_name,filter_band,A,f,t0,t_rise,t_fall,gamma,A_err,f_err,t0_err,t_rise_err,t_fall_err,gamma_err,A_mc_std,f_mc_std,t0_mc_std,t_rise_mc_std,t_fall_mc_std,gamma_mc_std,rms,mad,median_relative_error_pct,n_points,time_span,sn_type
ZTF24aboafrj,g,4.6756188338944415e-08,0.6948469669544779,1.8794337527503584,1.2443138089878496,53.3705696233916,33.35751095118674,9.402227869604485e-08,0.1620310522140278,15.845568356333366,22.571073329304674,22.65281285907423,14.653279632897082,9.402227869604485e-08,0.1620310522140278,15.845568356333366,22.571073329304674,22.65281285907423,14.653279632897082,1.876768522505653e-09,1.109866725756505e-09,3.8306355189204297,15,64.83700000000681,SN II
ZTF24aboafrj,r,5.509422927685069e-08,0.3804433727625983,0.9859147502514908,1.9237090288750287,74.94709862849969,18.732701563385632,6.610080422777037e-08,0.1447534813043004,23.362661540262184,13.382048270450506,16.758699157087843,14.995936949305053,6.610080422777037e-08,0.1447534813043004,23.362661540262184,13.382048270450506,16.758699157087843,14.995936949305053,2.1579651078043604e-09,1.444837386682182e-09,5.117709601592379,19,75.75600000000122,SN II
ZTF22aanmbrl,r,1.1047107424900357e-07,0.6653749999851374,-15.772737765561835,64.57610510804153,18.515899462145985,69.98182550550723,6.111075153740661e-08,0.1713129789049434,28.038956107361365,24.89125563906151,23.824274432274382,22.6088863228157,6.111075153740661e-08,0.1713129789049434,28.038956107361365,24.89125563906151,23.824274432274382,22.6088863228157,3.317173292481098e-09,2.6556329173398476e-09,5.5037466777573565,21,84.98700000000099,SN II
ZTF24aasvdze,g,1.2883270932310085e-07,0.8264686301798118,6.149756319979794,3.7045184495547474,19.259099444895632,52.5965414367074,1.312855097826128e-07,0.1212358040305429,20.21108266669677,18.26378484780278,27.418345770950296,9.53390819199309,1.312855097826128e-07,0.1212358040305429,20.21108266669677,18.26378484780278,27.418345770950296,9.53390819199309,2.70912979946028e-09,1.781916774652723e-09,3.720676056538909,26,74.77900000000227,SN II
ZTF24aasvdze,r,1.1239758436232529e-07,0.8280685279179761,7.728208492558693,4.293216516360089,31.32100108227305,63.64998861082791,1.2362877000169098e-07,0.1551472279908439,22.48408281818751,19.43399970534365,25.93630133739624,14.038212539248176,1.2362877000169098e-07,0.1551472279908439,22.48408281818751,19.43399970534365,25.93630133739624,14.038212539248176,2.1085111861201324e-09,9.796868178592783e-10,2.1864325450849447,32,83.8440000000046,SN II
ZTF22aaevwec,g,4.481368623610431e-08,0.6230097770632744,-0.0956555948273477,1.0751048329036754,47.57370869126604,31.755559138527587,4.60061443915308e-08,0.2095298232483851,16.08754866528194,15.962890300953074,21.80335210247752,14.895864414476623,4.60061443915308e-08,0.2095298232483851,16.08754866528194,15.962890300953074,21.80335210247752,14.895864414476623,3.5983499314359103e-09,4.921648467396999e-10,2.467479153382602,13,60.8269999999975,SN II
ZTF22aaevwec,r,5.61400784985302e-08,0.3045300245061708,-0.8566521350481061,1.0741117203978117,89.13363178117994,15.435563587348796,7.294055735443077e-08,0.207047224372401,30.03489066094618,19.64448313647486,21.23877873375038,32.78890070937515,7.294055735443077e-08,0.207047224372401,30.03489066094618,19.64448313647486,21.23877873375038,32.78890070937515,4.350886188203992e-09,3.129938046798076e-09,10.611264607395846,23,80.01499999999942,SN II
ZTF24aaxyrrd,g,3.8195762203657925e-08,0.6022185922239072,1.0500246961781186,1.936580049401976,88.15288806769205,29.12468866001649,9.017695514854263e-08,0.0809555651790927,26.79429950150379,21.519318381044005,12.883640942540136,7.838541076548737,9.017695514854263e-08,0.0809555651790927,26.79429950150379,21.519318381044005,12.883640942540136,7.838541076548737,5.632144151964636e-09,6.350511692068901e-10,3.94074007239814,30,98.92399999999908,SN II
ZTF24aaxyrrd,r,3.430761965268939e-08,0.380976855050576,1.4302059378504373,2.0678918456380986,44.841378662730335,87.07064005928595,4.400404022834756e-08,0.1445011106069712,31.14220988040131,12.812860333116154,28.973364577092134,42.2855302579768,4.400404022834756e-08,0.1445011106069712,31.14220988040131,12.812860333116154,28.973364577092134,42.2855302579768,2.177808725699073e-09,1.3563845379549583e-09,5.771422471818049,42,133.81500000000233,SN II
