sn_name,filter_band,A,f,t0,t_rise,t_fall,gamma,A_err,f_err,t0_err,t_rise_err,t_fall_err,gamma_err,A_mc_std,f_mc_std,t0_mc_std,t_rise_mc_std,t_fall_mc_std,gamma_mc_std,rms,mad,reduced_chi2,n_points,time_span,sn_type
ZTF20acgnrqu,g,1.523578916268935e-07,0.7920710205769269,4.808486991052897,3.609359868537745,31.014114003582186,23.633919462010418,4.253005232696963e-08,0.13308251151212958,15.351801007966685,17.07417280124989,27.83226888414251,25.84973045717996,4.253005232696963e-08,0.13308251151212958,15.351801007966685,17.07417280124989,27.83226888414251,25.84973045717996,0.09209952759015021,0.03642015998790882,0.7096465608494421,26,33.05199999999604,SN Ia
ZTF20acgnrqu,r,1.95141401136387e-07,0.5967876301296431,5.992138967546387,5.743445694668182,35.30320465981193,14.97975589295288,5.21374514664019e-08,0.09348177085970955,19.202012818975696,15.691076305512485,10.166649241857025,18.91991574518248,5.21374514664019e-08,0.09348177085970955,19.202012818975696,15.691076305512485,10.166649241857025,18.91991574518248,0.06342162505717487,0.03273311251691524,0.6162394976068288,27,41.038000000000466,SN Ia
ZTF20acggxac,g,4.3431587246941774e-08,0.74189985807275,1.7220886407364528,4.447517009965532,34.58174268989051,19.957721624689754,1.7893916564050808e-08,0.23863588774813574,13.73471674300638,14.762695120085525,26.250739601286842,13.437653974937536,1.7893916564050808e-08,0.23863588774813574,13.73471674300638,14.762695120085525,26.250739601286842,13.437653974937536,0.20769132783552485,0.08108551243416073,1.8099163820910902,10,29.92099999999482,SN Ia
ZTF20acggxac,r,3.546964014010678e-08,0.724822603348809,0.8896016734623452,4.203923329525644,28.1079764792847,40.040807804237176,2.1330796059981456e-08,0.3027269656238547,25.52838824159123,19.314364009794627,26.61492497532292,20.292405847993276,2.1330796059981456e-08,0.3027269656238547,25.52838824159123,19.314364009794627,26.61492497532292,20.292405847993276,0.1702363712872762,0.05860204546381809,1.1683325775994857,16,41.91700000000128,SN Ia
ZTF20acgokbj,g,2.992238144372468e-08,0.6418230133769081,4.345807108470349,2.9741427320568032,41.17085502173791,24.11207635243818,2.644884787124628e-08,0.20950941901605621,21.160830454540868,11.592659229069499,25.30228426650772,18.161381914089503,2.644884787124628e-08,0.20950941901605621,21.160830454540868,11.592659229069499,25.30228426650772,18.161381914089503,0.17890284321668012,0.06284457819657874,0.6823688022829297,21,29.99699999999575,SN Ia
ZTF20acgokbj,r,3.0930478942105725e-08,0.5855616172229346,2.2458771750558797,4.736868081063343,31.00096438213209,24.595390121661264,1.4293107961208593e-08,0.250931371667764,22.262304117595257,18.001297202274596,24.99587735423181,24.954405170710356,1.4293107961208593e-08,0.250931371667764,22.262304117595257,18.001297202274596,24.99587735423181,24.954405170710356,0.11505790826374437,0.04615829570715135,0.32910237537476267,26,41.06899999999587,SN Ia
ZTF20acgnzhj,g,8.477328650543488e-08,0.7682044560483787,0.13637325767693342,4.59605976046525,16.280407847978804,27.300350299281387,6.118318660430994e-08,0.21800268004824885,22.537017396037182,19.863617360978083,20.188975276290773,16.90666023487393,6.118318660430994e-08,0.21800268004824885,22.537017396037182,19.863617360978083,20.188975276290773,16.90666023487393,0.30263579805204843,0.05085017140076431,1.3726571373249192,17,58.995999999999185,SN Ia
ZTF20acgnzhj,r,1.0240313088513326e-07,0.575952270233564,10.639213112585539,5.263476723289033,31.69223886872074,13.96550824396782,7.955024798664943e-08,0.14011552530686555,30.98677574858752,14.164731059755542,17.111495386703233,5.01485388359373,7.955024798664943e-08,0.14011552530686555,30.98677574858752,14.164731059755542,17.111495386703233,5.01485388359373,0.14520322039358038,0.0529951116577152,1.797565809271611,23,68.83299999999872,SN Ia
ZTF20acgmvsn,g,4.3593971103580794e-08,0.5776244591409012,-11.970763069658313,36.03627052881168,38.78451320857678,33.46036759051453,2.7427774249513453e-08,0.28698598140333886,26.406318113376948,27.96143938967787,28.43919525567713,23.035289029000452,2.7427774249513453e-08,0.28698598140333886,26.406318113376948,27.96143938967787,28.43919525567713,23.035289029000452,0.30851526769327925,0.2041241194540433,8.519498721513068,10,18.940999999998894,SN Ia
ZTF20acgmvsn,r,4.096088582668953e-08,0.5678388490117428,3.1706280791868133,5.147480368941034,36.10704044354886,20.857154122343296,1.8851211547853465e-08,0.1640244654418553,26.420401202725888,16.137647604519607,20.121918809592888,15.130174327077905,1.8851211547853465e-08,0.1640244654418553,26.420401202725888,16.137647604519607,20.121918809592888,15.130174327077905,0.11184650136188218,0.03478001339189518,0.33115858618180544,15,46.93699999999808,SN Ia
